[11:28:16] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:16] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:16] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:16] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:16] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:16] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:16] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:16] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:17] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:17] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:17] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:17] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:17] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:17] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:17] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:17] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:17] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:17] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:18] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:18] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:18] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:18] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:18] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:18] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:18] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:18] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:18] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:18] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:19] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:19] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:19] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:19] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:19] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:19] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:19] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:19] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:19] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:20] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:20] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:20] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:20] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:20] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:20] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:20] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:20] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:20] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:20] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:21] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:21] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:21] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:21] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:21] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:21] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:21] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:21] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:21] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:21] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:22] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:22] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:22] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:22] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:22] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:22] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
[11:28:22] - Error reading data from sensor: ClearCommError failed (PermissionError(13, 'Access is denied.', None, 5))
